date,year,quarter,wage_index
1997-09-01,1997,3,66.7
1997-12-01,1997,4,67.3
1998-03-01,1998,1,67.8
1998-06-01,1998,2,68.2
1998-09-01,1998,3,68.9
1998-12-01,1998,4,69.3
1999-03-01,1999,1,70.0
1999-06-01,1999,2,70.3
1999-09-01,1999,3,71.0
1999-12-01,1999,4,71.4
2000-03-01,2000,1,71.9
2000-06-01,2000,2,72.3
2000-09-01,2000,3,73.2
2000-12-01,2000,4,73.8
2001-03-01,2001,1,74.6
2001-06-01,2001,2,75.0
2001-09-01,2001,3,75.8
2001-12-01,2001,4,76.4
2002-03-01,2002,1,76.9
2002-06-01,2002,2,77.4
2002-09-01,2002,3,78.3
2002-12-01,2002,4,78.9
2003-03-01,2003,1,79.7
2003-06-01,2003,2,80.1
2003-09-01,2003,3,81.1
2003-12-01,2003,4,81.9
2004-03-01,2004,1,82.5
2004-06-01,2004,2,82.9
2004-09-01,2004,3,84.0
2004-12-01,2004,4,84.8
2005-03-01,2005,1,85.7
2005-06-01,2005,2,86.3
2005-09-01,2005,3,87.5
2005-12-01,2005,4,88.3
2006-03-01,2006,1,89.2
2006-06-01,2006,2,89.9
2006-09-01,2006,3,90.9
2006-12-01,2006,4,91.8
2007-03-01,2007,1,92.8
2007-06-01,2007,2,93.5
2007-09-01,2007,3,94.8
2007-12-01,2007,4,95.7
2008-03-01,2008,1,96.6
2008-06-01,2008,2,97.5
2008-09-01,2008,3,98.6
2008-12-01,2008,4,99.8
2009-03-01,2009,1,100.5
2009-06-01,2009,2,101.1
2009-09-01,2009,3,102.0
2009-12-01,2009,4,102.7
2010-03-01,2010,1,103.6
2010-06-01,2010,2,104.2
2010-09-01,2010,3,105.7
2010-12-01,2010,4,106.6
2011-03-01,2011,1,107.6
2011-06-01,2011,2,108.2
2011-09-01,2011,3,109.5
2011-12-01,2011,4,110.5
2012-03-01,2012,1,111.4
2012-06-01,2012,2,112.2
2012-09-01,2012,3,113.5
2012-12-01,2012,4,114.3
2013-03-01,2013,1,115.0
2013-06-01,2013,2,115.5
2013-09-01,2013,3,116.6
2013-12-01,2013,4,117.2
2014-03-01,2014,1,118.0
2014-06-01,2014,2,118.5
2014-09-01,2014,3,119.5
2014-12-01,2014,4,120.2
2015-03-01,2015,1,120.7
2015-06-01,2015,2,121.2
2015-09-01,2015,3,122.2
2015-12-01,2015,4,122.7
2016-03-01,2016,1,123.2
2016-06-01,2016,2,123.7
2016-09-01,2016,3,124.6
2016-12-01,2016,4,125.1
2017-03-01,2017,1,125.6
2017-06-01,2017,2,126.1
2017-09-01,2017,3,127.1
2017-12-01,2017,4,127.7
2018-03-01,2018,1,128.2
2018-06-01,2018,2,128.7
2018-09-01,2018,3,130.0
2018-12-01,2018,4,130.6
2019-03-01,2019,1,131.2
2019-06-01,2019,2,131.8
2019-09-01,2019,3,132.9
2019-12-01,2019,4,133.5
2020-03-01,2020,1,134.1
2020-06-01,2020,2,134.1
2020-09-01,2020,3,134.7
2020-12-01,2020,4,135.4
2021-03-01,2021,1,136.1
2021-06-01,2021,2,136.5
2021-09-01,2021,3,137.7
2021-12-01,2021,4,138.5
2022-03-01,2022,1,139.3
2022-06-01,2022,2,140.1
2022-09-01,2022,3,142.1
2022-12-01,2022,4,143.2
2023-03-01,2023,1,144.3
2023-06-01,2023,2,145.2
2023-09-01,2023,3,147.9
2023-12-01,2023,4,149.3
2024-03-01,2024,1,150.2
2024-06-01,2024,2,151.1
2024-09-01,2024,3,153.1
2024-12-01,2024,4,154.1
2025-03-01,2025,1,155.3
2025-06-01,2025,2,156.2
2025-09-01,2025,3,158.3
2025-12-01,2025,4,159.4
2026-03-01,2026,1,160.3
